subclass,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,padj_snrnaseq,ctrl_mean_density,scz_mean_density,logFC_density,pval_density,se_density,n_ctrl,n_scz,class
L6 CT,0.125606426178303,0.0649999672118182,0.0533092252007589,0.319855351204553,5.6137747713119905,7.977312358213006,0.3513781994922803,0.22611424436337887,0.112806119027489,12,12,Glut
Sst,-0.169470258834415,0.0485169776159854,0.0004776096977695,0.0085969745598518,21.55204563042439,21.920547997403034,0.016953724758490142,0.8921829043251999,0.05260975113239448,12,12,GABA
L6b,0.145156232489517,0.0709679738666112,0.0408177449310939,0.319855351204553,4.3356905902190395,6.545102936748257,0.4118362235311276,0.27895435747701885,0.14787433616661153,12,12,Glut
L4 IT,-0.0193354753557229,0.0428076815060975,0.651497815364611,0.902073898197154,27.5663239406023,28.30241932220608,0.026352408754468135,0.6369604126467444,0.061925593560549524,12,12,Glut
Sst Chodl,-0.0074600755387129,0.0724466392019468,0.917984095778158,0.965193558308687,0.45502491604364215,0.4854327495612625,0.06468858225329284,0.667494680794858,0.021955926199775593,12,12,GABA
L5 ET,0.0554018477179979,0.0745270103182962,0.457251984102248,0.748230519440043,6.9493783056973895,5.93916028652086,-0.15708444568207983,0.25874376803211024,0.0726702065291805,12,12,Glut
L6 IT Car3,0.0686454124884531,0.0502852005545175,0.172214840107703,0.48788897753524,3.517489802312219,4.676646145498821,0.2848336065735876,0.46485744272228496,0.12451765224790529,12,12,Glut
L5/6 NP,0.0502551202065435,0.0496772188289145,0.311713500774246,0.561084301393643,4.526775797034962,5.591232350222856,0.21118977758108684,0.12353335963961405,0.05762443067364,12,12,Glut
L6 IT,0.101109405936608,0.0634254769741935,0.11090356563303,0.48788897753524,14.340697385599961,17.647353221854104,0.2074843468539207,0.6939202242501035,0.13525458823629635,12,12,Glut
Lamp5,0.0019986175981573,0.0458007223705126,0.965193558308687,0.965193558308687,11.47035041759843,10.91835218194798,-0.04932042162651732,0.47389089212840585,0.06688833615051432,12,12,GABA
Pvalb,-0.0493989194853215,0.0376842014056317,0.189903208796557,0.48788897753524,17.12319658582059,14.515045020071492,-0.16524837065000678,0.17808129995044764,0.061297254665680354,12,12,GABA
L5 IT,-0.0066724751690504,0.0376921628433313,0.859488334878547,0.965193558308687,38.6323119079828,37.502122383307174,-0.0296914940999979,0.7319636451404858,0.05847069119349861,12,12,Glut
Chandelier,-0.0131809470847113,0.0479245601589304,0.78328909732672,0.965193558308687,8.648757151615106,8.73075039915292,0.00943569380602971,0.8232147739780746,0.055796390094381074,12,12,GABA
Sncg,-0.0686133631503605,0.0647533849138262,0.289321858753942,0.561084301393643,4.254467237824289,4.6345506650437605,0.08556970473865755,0.6841457696810552,0.05595676498072983,12,12,GABA
Vip,-0.0554054293603501,0.0448635783409093,0.216839545571218,0.48788897753524,19.646434066081827,17.77111762241304,-0.10032131541753093,0.3979836110508355,0.06560304263696991,12,12,GABA
L2/3 IT,-0.074276292668894,0.0541253561762242,0.16996968396724,0.48788897753524,90.53670416968912,83.54810959058601,-0.08033271071972777,0.41916288842246774,0.06330082754048925,12,12,Glut
Pax6,-0.0320403224948196,0.0630590320509496,0.611382900438453,0.902073898197154,4.1209436035713765,3.483095513679084,-0.1681607533041115,0.21758226446432766,0.05672899644687157,12,12,GABA
OPC,0.0489563768634113,0.04468311249174,0.273238588404128,0.600337600974195,0.7216722339189503,0.6534144558907522,-0.09935944314799916,0.466995172433752,0.0302212929372088,12,12,NN
Endothelial,-0.0106594539526774,0.065747842501454,0.871206401580077,0.871206401580077,18.245415819566833,38.499667771673266,0.7467357514427398,0.019693985552888777,0.1212188550789161,12,12,NN
Microglia-PVM,-0.0499071783574349,0.0641324391920463,0.436457420181258,0.654686130271887,6.075656987164273,3.286462220443074,-0.6144784561362276,0.06394961171972392,0.12619933104352898,12,12,NN
Astrocyte,0.151054604618849,0.0636603452193685,0.0176528161204251,0.105916896722551,108.27909679258079,98.09452274661062,-0.09878059166082494,0.272765829563043,0.08212190729565202,12,12,NN
Oligodendrocyte,0.0290060942497574,0.0723136121519227,0.688335256967945,0.826002308361534,84.61778752396431,66.50632549414927,-0.24084743558125782,0.0850965140336472,0.11651015617362837,12,12,NN
VLMC,0.062068584953232,0.0599076286493861,0.300168800487098,0.600337600974195,0.30466858052113716,0.3474277530251495,0.13133217386166215,0.5345832022677818,0.05725306649426175,12,12,NN
